dp_id	english	marathi	devhali_bhili	src_datapoint_id
3727275d0d7c401fa1ae7e9a3807f2f4	pest management	कीड व्यवस्थापन	किड व्यवस्थापन	21e70ec9fe58456baf053feed87351ad
1dfe5f882d6944acafe6072b967114ce	pest	कीड	किड	eecf5ac898be46d9acb8a74f324de26f
ea95acfb17824bf9b12ea603b1b67115	pest forecasting	कीड अंदाज	किडहा अंदाज	8c12a90dbc594ecdbb91acf43ad6d89a
879bc6bad5b14b1caa2b8a6429fde791	panicle	ओम्बी किंवा कणीस	पॅनिकल	871470f43a44495ba7e1b8ef2fad37f4
eb5a55e720bd447e93e8fa8d046e5739	peepal	पिंपळ	पिपलो	14a1fe4768ff4f56bd472044dcf0140f
f417b35579ff4b56a9c2965b39cbc2ca	pathogen	रोगजनक	रोगकारक	eaeecdbe257a4557834efdea37b6b9e5
820bba71993e4a29a15027f5a5a9f77d	paddy transplanter	भात रोपांतरण यंत्र	हाल लागवड यंत्र	c10e14dc53f8484887cec859ca415092
cf68a860cd8d4b23a15c54f122ef9268	percolation tank	पाझर तलाव	पांय मुरनू टाकी	4d83d40b3f8d4e19a94261ed75908cd2
f1e8c38977a24be4a4b87c6a3c62d409	pest pheromone trap	कामगंध सापळा	किड किटक नाश केनारो सापळा	e1f28ca4a9344a56b257929c32bf6b99
bfded66f6668405382cb76b9f66feaea	periwinkle	सदाफुली	पेरीविंकल	0c0ae7abb3f1475caaa22b90cc1de741
5d5e5b1181f644ee9bfdea84456f665b	palas	पळस	पालोहो /खाकरो	822e84306c8f400ca709e8498e077cb6
f9277e228d544ca0a7fedb55df480f7c	panicle emergence	कणसाचे बाहेर येणे	फुले	f5193229945d425095b9d37cdf4b5565
1c14a6cee15e4fd6b4e44e7d2476dd46	pest control	कीड नियंत्रण	किड नियंत्रण	7bd472f099e04b76951c3263896cd60d
925b0491ef204912a1baecc66b126e76	perennial crop	बहुवर्षीय पीक	बारमाही पीक	37565cdc6366426c8620a89c85fe93dd
25d294b1b28e406182fb58b701d2e7d1	pasture	कुरण क्षेत्र	चारो	69785e52afbd407aab473e484991c22b
dcd90e2d3f2a47e4886a188bfd577698	pear	नाशपाती	नाशपाती	3e642fb131214ac5971c53441e0a18e3
b8ba3c9df54d4061ac7cdef4bff4d335	pest monitoring	कीड निरीक्षण	किडहा निरीक्षण	126e37f37a69478a9498ea79be1e6f52
3ec2f3c44f52422ba28f1f250076865d	pest incidence	कीड प्रादुर्भाव	किडींही प्रादुर्भाव	cfc7f13957774f8683c9b0eec83a78a2
e930cb9209334c989c4e827abe614b26	pest and disease forecasting	कीड आणि रोग पूर्वानुमान	किड आन रोग अंदाज	6affc5ea624047f9bf07697cd55a809f
434ba918293a4551b221cdb11549f8e9	pea	वाटणा	ओटाना	4ee38e519c3c42ed82b533530531a7e2
aff08ed19ebf4ee789289da02e76421f	pest damage assessment	कीटक नुकसान मूल्यांकन	किडी नुकसान मूल्यांकन	231dcc2de9aa4c3b9f6bddd74b51c3b8
c78bef45e52a4e53b0e04ee5f14e3c34	parboiling	अर्धशिजवणे (धान्य)	पांयाम उकडनूं	0de87d4b48e24a4eb73e2930c22b3b0f
ee08bb0b13af4db3a02733547cce1621	papaya	पपई	पोपुयो	bb69352b3a904c958e442812c457d1d8
cf3c4b3aad3b41888a0d7fba1fa54403	panicle formation	पॅनीकल तयार होणे	लवंग्या	44ba416e834f410ab1b403916855e9ee
12219fee6e7c4f6a95b5552a0a899677	perishables	नाशवंत वस्तू	खराब वेनारो	0739d5f8660a49488946a36d9b855818
38bb4ed875aa4b65b3c3609f42683499	pest and disease management	कीड आणि रोग व्यवस्थापन	किड आन रोग व्यवस्थापन	2072e455aab74f7fbdf300f9a3c339d0
ce36257a9be641209f88f60bb3c1d65a	paddy nursery	भात रोपवाटिका	भात रोपवाटिका	0f18bd54db174bb09d3ee702b2f2d860
eadfef686f424fd6821bacec1d899866	pak choi	पांढरी कोबी	पाक चोई	ba854ca6e80945649ac792841fb0778f
f2a0c594a1cf4a76aedd6ecc89eba5a1	percolation	पाझरण	पांय मुरनूं	7461cb43dda14a4e96c20ad05d913d97
b1e7f763ae3549dfa8e33811955989f6	papaya ring spot	पपईवरील वलयाकार ठिपका रोग	पोपुयावेने गोल ठिपके	9ac64de5a6e2435d9978ca6434737b26
6d31e14b9d6f482f9a315f41e0710fa8	perennial weed	बहुवर्षायू तण	बारमाही खोड	3c1219c5b68a4ef5b0f2ea8e121c203d
80682b4b788b4139807551ffebecd122	pest life cycle	कीटक जीवनचक्र	किडींही जीवनक्रम	e2f3d0cd566d4745a83035606dd337fe
8877b2c632194a29b68f0c00a2bafd2f	perennial crops	बारमाही पिके	बारमाही पिके	9b38b0d7e4af47b1878675203c47dfd0
e45762b2744e40a4a1bd243bd3855011	neem seed kernel extract	कडुलिंबाच्या बियांचा अर्क	निंबोळी बियाणे अर्क	f82fa935c7a84cf7a10da529fb024ebb
7537d6d9839a4bd3b7d88b6576029288	nipping	शेंडा खुडणे	टिपणी	18926abba12b4d8688c280438d08d418
20764639662b41c2a5d329dcac53d3c8	net return	निव्वळ उत्पन्न	निव्वळ उत्पन्न	40615877574c4a35bb419a279af6b449
28d70c8bc33241e6b8f84057d8ffb276	no-till practices	बिगर मशागत पध्दती	बिना खेडा खेती	1e71b8101d1f4608b46465bb820fc8a2
a1c3243e96c4452d9dbd38a54cd3c09a	nirgudi	निरगुडी	निरगुडी	a48df5c19a95468d9407da0fc07c1b17
eee17440bef84dbcbf98650a756c8f83	nursery	रोपवाटिका	रोपवाटिका	08087967c4c54d0085ae70ed1810431c
a1cc1a3c805040cca498383d68c8fee7	nitrogen application	नत्र वापर	नत्र देवनु	278d8d5b15a84aad8d20d02766c1d969
166119607cd04c81bb333c0ba8cca120	neem	कडूलिंब	निंबवो	28748870d84841da99280c494564fad7
b5b0671bd3324684aff86d800b7844a9	necrosis	पेशींचा मृत्यू	पेशी मर	a82c974a858346a79d9070dd6a00aa52
487b7a326d8f46869bf34534233816da	phytoplasma	फायटोप्लाझ्मा (सूक्ष्मजीव)	फायटोप्लाज्मा	54f0b96efc1644f99ce7aacace04767b
cd572a9530d642b4bf02684699771b1e	phosphorus	स्फुरद	स्फुरद	e73aa877581a40fcad5a846db49db62e
33bcb18eb9e64f1994cceb4433eeaa05	neem extract	निंबोळी अर्क	निंबोळी अर्क	5544135ccd834941b73db68199c7e544
d9f42003ae914f05841b0873404e8994	pesticide application	कीटकनाशकांचा वापर	किटकनाशक वापर	27903f1cdbd6439dabf97216bdd7ee3d
156a69e6b15a4085a19978c4b5a12b58	phosphate solubilizing bacteria	स्फुरद विरघळवणारे जीवाणू	स्फुरद विद्राव्य केनारा जिवाणू	89137caa3d00484e95e7a1ca1fbb5354
ca5dd981ae444df6982183839c7ee6cb	pesticide sprayers	कीटकनाशक फवारणी यंत्र	किटकनाशक फवारणी यंत्र	9e1b4395ca864307be494da02d79b0f0
7aefb6a6be3e4494895ea09bc9b398b9	phosphorus fertilizers	फॉस्फोरसयुक्त खते	स्फुरदयुक्त खते	effe77a423034c30aef4b0a85211e40f
5535346143954fd7a0242c9fa35acc36	milling machine	दळण यंत्र	मिलिंग मशीन	f43194a74bed437d8e5168fa7023134f
816fea0f8025469982b0efc266a12c62	pheromone traps	फेरोमोन सापळे	गंध सापळा	f0cd172fcd26447ea97303fe7ce6a40f
4e7fee4f56dc462e94d39e490e1f0d3e	phosphorus uptake	फॉस्फरस शोषण	स्फुरद ग्रहण	a8c28952b0e54049b693120e28c5b96b
b1589d6f1a9b445aabf1f2958062d7c3	phosphate solubilizer	स्फुरद विरघळवणारा	फॉस्फेट विद्राव्य	9c8eeabfeffd42fc9fd412b38d15923e
105a90d516cd4ea0b1a1ce7bd0e3f7ea	mixed cropping	मिश्र पीक पद्धती	मिश्र पीक	ee5afbfd8c7144ec951c232a71ede032
56a905fb35c247d6bed922d390f080b7	mixed cropping	मिश्र पीक	मिश्र पीक	f0876a9a96654f0ba30968a5da7a7e88
