id,category,n_src_words,n_tgt_words,ratio,bhb,mar,eng
c5612772-2c8f-42c1-a717-3b0e28e8a3d7,krishi_darshani,14,4,0.286,2) स्टॅबिलायझर 50 % आहि 3) किळे -21010 सीएफयु / मिली ताईमुल ताकोलो आहि,"2) स्टॅबिलायझर-50%, 3)बॅक्टेरिया-2ु1010 सीएफयु/मिली(भरतेवेळी)","2) Stabilizer-50%, 3) Bacteria-2100 CFU/ml (at the time of filling)."
cf1aa733-91b2-41a0-b023-bf463faf00e1,krishi_darshani,25,8,0.32,3. हरितगृहाम जरबेरा फुलझाडांमेने अधिक उत्पादन ला खातर आन आर्थिक फायदा मिळवाखातोर 30 x 30 सें.मी. अंतराव रोपहा लागवड शिफारसी प्रमाणे केरा पॉडी. …See More,अंतरावर रोपांची लागवड करण्याची शिफारस करण्यात येत आहे.,Planting trees at a distance is recommended.
2f300b52-bbb2-4200-a0a8-420d0be9b82a,krishi_darshani,30,10,0.333,"मोरी आन गोठाआ मेंएन पाईंइ वापर टाकी पोउलाअ काम आवी. जिया भागो मेहें मिठो पाईं कमी हाय, तिहीं पोतड़े तुवीन बी बिहीरीवारी फाशोअ वापर केइन बी फाशोअ वापर केई सेकताहा",2) न्हाणीघर आणि गोठ्यातील सांडपाणी हौद भरण्यासाठी वापरले जाऊ शकते.,2) The waste water from the bath and the cowsheds can be used to recharge the tanks.
87806a542a174a6c83b09f399b965a50,general,18,7,0.389,रसदशास्त्र म्हणजे (जिही पांयों गरज हाय तींही पांय पोत विलोब)आना माल वाहतूक कोरा काजे भारता साधनसुविधा गरज हाय.,रसदशास्त्र आणि मालवाहतुकीसाठी भारताला साधनसुविधांची आवश्यकता आहे.,India needs infrastructure for logistics and movement of freight.
ef784683-02af-4108-8535-a93371f5ae92,krishi_darshani,35,88,2.514,ईयाशिवाय अलग अलग पीकुप नैसर्गिक रित्या देखणाऱ्या किडी शत्रु कीटक म्हणजेच शेतकऱ्या मित्र कीटक बाचव केरुलो गरज आही. उदा. घाटे अडी व तंबाखू पाने खाणारी ओली विषाणू बीटी जिवाणू पॅक नीड मासी रोगस एरवी ईय,"याशिवाय विविध पिकांवर नैसर्गिकरित्या आढळणाऱ्या किडींच्या शत्रु किटकांचे म्हणजेच शेतकऱ्यांच्या मित्रकिटकांचे सवर्धन करणे गरजेचे आहे. उदा. घाटे अळी व तंबाखूची पाने खाणारी अळीचा विषाणू, बीटी जीवाणू टॅकनिड माशी, रोगस, ईअरविग, चारोपस, अॅपंन्टेलीस व विविध परोपजीवी बुरशी (मॅटॅरायझीयम, बॅव्हेरीया, नोम्युरीया, व्हर्टीसीलीयम ई.) वेगवेगळ्या किडींवर आपली उपजिविका करून पिकांवरील किडनियंत्रणात मदत करतात. म्हणून शेतकरी बंधूंनी आपल्या पिकांवरील किडींचे व मित्र किटकांचे किमान दर आठवड्याने सर्वेक्षण करून, मित्र किटकांची संख्या पुरेशी असल्यास किडींच्या नियंत्रणासाठी रासायनिक किटकांचा वापर टाळावा. आवश्यक असेल तर व किडींनी आर्थिक नुकसानीची पातळी गाठल्यावरच रासायनिक किटकनाशकांचा वापर करावा.","In addition to this, it is necessary to nurture natural enemies of pests found on various crops, that is, beneficial insects for farmers. For example, the leaf-eating caterpillar of tobacco, the virus of the BT bacteria tachnids, the disease-causing earwig, the charepasa, the appenthelis, and various parasitic fungi (Metarhium, Bavaria, Nomura, Verticillium E.) help in pest control by earning their livelihood on various pests. Therefore, farmer brothers should survey the pests and beneficial insects on their crops at least every week, and if the number of beneficial insects is sufficient, they should avoid using chemical pesticides for pest control. If necessary, chemical pesticides should be used only when the pests have reached a level of economic damage."
a3c49680-0d51-4343-8677-9b587b12303e,krishi_darshani,13,33,2.538,ईया रोगा लक्षणे पिका वाढि आखे अवस्थाम म्हणजे रोपवाटिकाम डिरा फुटता तोवे फुले,"या रोगाची लक्षणे पिकाच्या वाढीच्या सर्व अवस्थांमध्ये म्हणजेच रोपवाटिकेत, फुटवे येण्याच्या वेळी, फुलोध्याच्या वेळी तसेच दाण्यांवर देखील दिसून येतात. प्रथमतः रोपांच्या पानांवर जांभळ्या रंगाचे ठिपके पडतात. रोप मोठे होताना ठिपक्यांचे आकारमान देखील वाढते.","The symptoms of this disease are visible at all stages of crop growth, i.e., in the nursery, during budding, during flowering, and also on the grains. Initially, purple spots appear on the leaves of the plants. As the plant grows, the size of the spots also increases."
977d6df198e64625803f2b322bfa4fd4,general,9,24,2.667,दुकानाम जर तुम्हाला काय देखा गया जो तुम्हारे लागे,दुकानामध्ये जर तुम्हाला असे काही दिसले जे तुमच्याकडे असलेच पहिजे तर तुमचे घड्याळ पहा आणि ते खरेदी करण्याबाबत विचार करण्यासाठी स्वतःला अर्धा तास द्या.,"If you see something at the store that you must have, then look at your watch and give yourself a half-hour to think about buying it."
2a5d0ac7-479c-4869-8b06-7c4524211118,krishi_darshani,27,72,2.667,हाली पिकू केता उत्पादन जाको आवा खातुर व खोडकिडा व्यवस्थापन केरा केता काबोक्युराम 3 टक्के दानेदार 25० ग्रॅम प्रति हेक्टर रोप उगवला वेली रोपू जागे टाका ज्योजे,धान पिकाच्या अधिक उत्पादनाकरीता व खोडकिडीच्या व्यवस्थापनाकरीता कार्बोफ्युरॉन ३ टक्के दाणेदार २५ किलो ग्रॅम प्रति हेक्टरी (कार्बोफ्युरॉन ३ टक्के दाणेदार २५० ग्रॅम प्रति १०० वर्ग मीटर रोपवाटीका) रोप काढणीच्या ५ दिवस अगोदर रोपवाटीकेत टाकावे आणि खोडकिडा व पाने गुंडाळणाऱ्या अळीच्या व्यवस्थापनासाठी लावणीनंतर ६० ते ९० दिवसांनी खोडकिडा (१० टक्के गाभेमर) किंवा पाने गुंडाळणाऱ्या अळीने (जीवंत अळीसह २ प्रादुर्भावग्रस्त पाने प्रति चुड) आर्थिक नुकसान पातळी गाठल्यास त्यांच्या व्यवस्थापनासाठी कारटॅप हायड्रोक्लोराईड ५० टक्के एस.पी.,"For higher rice crop production and management of stem borers, apply Carbofuran 3% granular at 25 kg per hectare (or Carbofuran 3% granular at 250 grams per 100 square meter of nursery area) in the nursery 5 days before transplanting. For management of stem borers and leaf-folding caterpillars, apply Carbefuran 50% SP at 60 to 90 days after transplanting, if the economic loss level is reached by stem borers (10% larvae) or leaf-folding caterpillars (2 infested leaves per chud with live larvae)."
e825e0de8de04b9a9e0135ee4d6bdcb1,general,7,19,2.714,झुम लागवड शेजाराच्य जमातीवर छापे मारण्यासाठी हेय.,"झुम लागवडीसाठी आणि शेजारच्या जमातींवर छापे मारण्यासाठी ह्नातलांग, अर्थात एकत्रित श्रम भावना आणि अंतिम परिणामाचे समान वाटप आवश्यक होते.","Jhum cultivation and raids on neighboring tribes required Hnatlang, the spirit of united labor, and equal sharing of the end result."
d4fa50faa3af4d6f9ba67dd660c4dbb8,general,4,11,2.75,राजाहा उडुपी एहिने द्वेत,राजांनी उडुपी येथील मध्वाचार्यांच्या द्वैत परंपरेच्या (द्वैतवादाचे तत्वज्ञान) संतांना संरक्षण दिले.,The kings patronised the saints of the dvaita order (philosophy of dualism) of Madhvacharya at Udupi.
