source_term,target_term,n_fired,n_helped,n_hurt,n_neutral,net_chrf_delta,avg_chrf_delta,example_file,example_idx,example_source,example_raw,example_final
राजधानी,भांडवल,36,0,36,0,-405.95,-11.2764,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,996,"पेली स्तरीय प्रशासकीय विभागूम म्हणून, दिल्ली राष्टीय राजधानी प्रदेशूम स्वः ता विधान सभा , नायब राज्यपाल , मंत्रीमंडळ अन मुख्यमंत्री आही.","पहिली स्तरीय प्रशासकीय विभाग म्हणून, दिल्ली राष्ट्रीय राजधानी प्रदेशात स्वतःची विधानसभा, नायब राज्यपाल, मंत्रिमंडळ आणि मुख्यमंत्री आहेत.","पहिली स्तरीय प्रशासकीय विभाग म्हणून, दिल्ली राष्ट्रीय भांडवल प्रदेशात स्वतःची विधानसभा, नायब राज्यपाल, मंत्रिमंडळ आणि मुख्यमंत्री आहेत."
ग्रॅम,ग्राम,84,6,78,0,-323.488,-3.851,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,927,ग्रॅम संजीवक प्रति १० लिटर पाणी) या प्रमाणात फवारावे.,ग्रॅम संजीवक प्रति १० लिटर पाणी) या प्रमाणाम फवारनु.,ग्राम संजीवक प्रति १० लिटर पांय) या प्रमाणाम फवारनु.
ठिबक सिंचन,ठिबक नळी,36,0,36,0,-291.855,-8.1071,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,707,धडगाव म राष्ट्रीय कृषी विकास योजना म शेततळे नेता ठिबक सिंचन बोहवणु केता ऑनलाईन अर्ज चालू वेयहा,धडगावमध्ये राष्ट्रीय कृषी विकास योजनेतून शेततळे किंवा ठिबक सिंचन बसवण्यासाठी ऑनलाईन अर्ज सुरू झाले आहेत.,धडगावमध्ये राष्ट्रीय कृषी विकास योजनेतून शेततळे किंवा ठिबक नळी बसवण्यासाठी ऑनलाइन अर्ज सुरू झाले आहेत.
फुले,फुलांचा झुबका,59,6,53,0,-281.377,-4.7691,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,982,त्यापासे १९६९ सालामाय थोर समाजसुधारक महात्मा जोतिबा फुले याहा नावाकोय ई कृषि विद्यापीठ महात्मा फुले कृषि विद्यापीठ या नावाकोय उदयामे येना.,त्यानंतर १९६९ साली थोर समाजसुधारक महात्मा ज्योतीबा फुले यांच्या नावाने हे कृषि विद्यापीठ महात्मा फुले कृषि विद्यापीठ या नावाने उदयास आले.,त्यानंतर १९६९ साली थोर समाजसुधारक महात्मा ज्योतीबा फुलांचा झुबका यांच्या नावाने हे कृषि विद्यापीठ महात्मा फुलांचा झुबका कृषि विद्यापीठ या नावाने उदयास आले.
उत्पन्न,उत्पादन,29,0,29,0,-264.447,-9.1189,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,976,शिवाय हमखास उत्पन्न बी मिलेहे,शिवाय हमखास उत्पन्नही मिळते.,शिवाय हमखास उत्पादनही मिळते.
सिंचन,पाय देवनु,12,0,12,0,-195.706,-16.3088,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,572,"पार्श्वभूमीमध्ये दिसल्याप्रमाणे, बांगलादेशच्या कोमिला येथे थेट गुमतीतून पंपाने उपसा करून सिंचन सुरू आहे.",पशर्व भूमी म देखाहे आहि बांग्लादेश कोमिला इही थेट गुमती म ने पंप की उपसा किन सिंचन सुरू हाय,पशर्व भूमी म देखाहे आहि बांग्लादेश कोमिला इही थेट गुमती म ने पंप की उपसा किन पाय देवनु सुरू हाय
पीएम किसान,प्रधानमंत्री किसान योजना,18,0,18,0,-179.251,-9.9584,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,928,तुमा बँक खाताल आधार कार्ड लिंक नाय वेरी ता पीएम किसान योजना पौसा जोमा नेय वे,तुमच्या बँक खात्याला आधार कार्ड लिंक नसल्यास पीएम किसान योजनेचे पैसे जमा होणार नाहीत.,तुमच्या बँक खात्याला आधार कार्ड लिंक नसल्यास प्रधानमंत्री किसान योजना योजनेचे पैसे जमा होणार नाहीत.
प्रसार,प्रजनन,24,0,24,0,-160.405,-6.6835,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,867,"खुब निंडी खाडी होय तेबी, लहरी परिणाम ॲडमही पुलो मार्गा वेल थोडाक प्रमाणोम प्रसार कोतेहे.","अतिशय उथळ खाडी असूनही, लहरींचे परिणाम ॲडमच्या पुलाच्या मार्गाने थोड्या प्रमाणात प्रसारित केले जातात.","अतिशय उथळ खाडी असूनही, लहरींचे परिणाम ॲडमच्या पुलाच्या मार्गाने थोड्या प्रमाणात प्रजननित केले जातात."
कोष,गोहटो,42,10,32,0,-145.622,-3.4672,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,626,मोठ्या प्रमाणात कोष वाळवणे शक्य होते.,खुप आकारूप कोष हुकवूला शक्य वेहे .,खुप आकारूप गोहटो हुकवूला शक्य वेहे .
तुडतुडे,जासीड,24,0,24,0,-145.619,-6.0674,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,885,तूर पिकावर मावा आणि तुडतुडे दिसल्यास ५ टक्के निंबोळी अर्काची फवारणी करून घ्या.,तुव्याप मावा आन तुडतुडे देखाय ५ टक्के निंबोळी अर्का फवारणी कील्या,तुव्याप मावा आन जासीड देखाय ५ टक्के निंबोळी अर्का फवारणी कील्या
